"李洋[中国航天科工集团有限公司纪检监察组组长、党组成员]","李洋","中文名","4321"
"李洋[中国航天科工集团有限公司纪检监察组组长、党组成员]","男","性别","4322"
"李洋[中国航天科工集团有限公司纪检监察组组长、党组成员]","中国","国籍","4323"
"李洋[中国航天科工集团有限公司纪检监察组组长、党组成员]","汉族","民族","4324"
"李洋[中国航天科工集团有限公司纪检监察组组长、党组成员]","安徽亳州","出生地","4325"
"李洋[中国航天科工集团有限公司纪检监察组组长、党组成员]","1969年2月","出生日期","4326"
"李洋[中国航天科工集团有限公司纪检监察组组长、党组成员]","武汉大学","毕业院校","4327"
"李洋[中国内地男演员]","李洋","本名","4328"
"李洋[中国内地男演员]","汉族","民族","4329"
"李洋[中国内地男演员]","中国","国籍","4330"
"李洋[中国内地男演员]","山西","出生地","4331"
"李洋[中国内地男演员]","1982年6月24日 [17]","出生日期","4332"
"李洋[中国内地男演员]","北京电影学院 [17]","毕业院校","4333"
"李洋[中国内地男演员]","巨蟹座","星座","4334"
"李洋[中国内地男演员]","183 cm [18]","身高","4335"
"李洋[中国内地男演员]","75 kg [18]","体重","4336"
"李洋[中国内地男演员]","少年巴比伦、灰猴、国家情怀、铁血将军、彝海结盟、警察日记、彭德怀元帅","代表作品","4337"
"李洋[中国内地男演员]","演员 [1]","职业","4338"
"李洋[天津市青年京剧团女演员]","李洋","中文名","4345"
"李洋[天津市青年京剧团女演员]","中国","国籍","4346"
"李洋[天津市青年京剧团女演员]","汉族","民族","4347"
"李洋[天津市青年京剧团女演员]","天津市","出生地","4348"
"李洋[天津市青年京剧团女演员]","1987年","出生日期","4349"
"李洋[天津市青年京剧团女演员]","中国戏曲学院 [1]","毕业院校","4350"
"李洋[天津市青年京剧团女演员]","京剧团演员，工武旦","职业","4351"
"李洋[天津市青年京剧团女演员]","竹林计、扈家庄、《女杀死门》 [2]","代表作品","4352"
"李洋[天津市青年京剧团女演员]","第六届CCTV全国青京赛金奖第五届全国优秀青年京剧演员研究生班研究生 [1]","主要成就","4353"
"李洋[著名影视评论家，学者，策划人，制作人]","李洋","中文名","4354"
"李洋[著名影视评论家，学者，策划人，制作人]","中国","国籍","4355"
"李洋[著名影视评论家，学者，策划人，制作人]","1959年 [4]","出生日期","4356"
"李洋[著名影视评论家，学者，策划人，制作人]","中国社会科学院研究生院 [2]","毕业院校","4357"
"李洋[著名影视评论家，学者，策划人，制作人]","学者 [5]","职业","4358"
"李洋[著名影视评论家，学者，策划人，制作人]","电视剧：亮剑、幸福像花儿一样、暗算、士兵突击等；电影：战狼、战狼Ⅱ等。 [2]","代表作品","4359"
"李洋[沈阳工业大学辽阳校区基础部体育教研室教师]","李洋","中文名","4360"
"李洋[沈阳工业大学辽阳校区基础部体育教研室教师]","中国","国籍","4361"
"李洋[沈阳工业大学辽阳校区基础部体育教研室教师]","1982年6月24日","出生日期","4362"
"李洋[沈阳工业大学辽阳校区基础部体育教研室教师]","体育教研室教师","职业","4363"
"李洋[云南省迪庆藏族自治州党委常委、组织部长]","李洋","中文名","4364"
"李洋[云南省迪庆藏族自治州党委常委、组织部长]","男","性别","4365"
"李洋[云南省迪庆藏族自治州党委常委、组织部长]","中国","国籍","4366"
"李洋[云南省迪庆藏族自治州党委常委、组织部长]","白族","民族","4367"
"李洋[云南省迪庆藏族自治州党委常委、组织部长]","云南大理","籍贯","4368"
"李洋[云南省迪庆藏族自治州党委常委、组织部长]","1976年6月","出生日期","4369"
"李洋[云南省迪庆藏族自治州党委常委、组织部长]","云南省委党校、云南省林业学校、西南林学院","毕业院校","4370"
"李洋[重庆医科大学肛肠外科教授]","李洋","中文名","4371"
"李洋[重庆医科大学肛肠外科教授]","1968年","出生日期","4372"
"李洋[重庆医科大学肛肠外科教授]","副主任医师","临床职称","4373"
"李洋[重庆医科大学肛肠外科教授]","重庆医科大学第二临床学院胃肠肛肠外科","执业地点","4374"
"李洋[重庆医科大学肛肠外科教授]","重庆医科大学学报等多家杂志特约编委","职务","4375"
"李洋[中国台北羽毛球运动员]","李洋","中文名","4376"
"李洋[中国台北羽毛球运动员]","LEE Yang","外文名","4377"
"李洋[中国台北羽毛球运动员]","中国","国籍","4378"
"李洋[中国台北羽毛球运动员]","汉族","民族","4379"
"李洋[中国台北羽毛球运动员]","台北","出生地","4380"
"李洋[中国台北羽毛球运动员]","1995年8月12日","出生日期","4381"
"李洋[中国台北羽毛球运动员]","177 cm","身高","4382"
"李洋[中国台北羽毛球运动员]","羽毛球","运动项目","4383"
"李洋[北京师范大学珠海分校管理学院团委书记]","李洋","中文名","4384"
"李洋[北京师范大学珠海分校管理学院团委书记]","中国","国籍","4385"
"李洋[北京师范大学珠海分校管理学院团委书记]","北京师范大学","毕业院校","4386"
"李洋[北京师范大学珠海分校管理学院团委书记]","“军训优秀带队教师”、“就业先进个人”","主要成就","4387"
"李洋[北京交通台主持人]","李洋","中文名","4388"
"李洋[北京交通台主持人]","中国","国籍","4389"
"李洋[北京交通台主持人]","主持人","职业","4390"
"李洋[北京交通台主持人]","《百姓TAXI》","栏目","4391"
"李洋[北京交通台主持人]","北京交通台","工作地","4392"
"李洋[北京交通台主持人]","真诚","性格","4393"
"李洋[中国毛体书法艺术家协会会员]","李洋","中文名","4394"
"李洋[中国毛体书法艺术家协会会员]","中国","国籍","4395"
"李洋[中国毛体书法艺术家协会会员]","汉族","民族","4396"
"李洋[中国毛体书法艺术家协会会员]","1970年10月","出生日期","4397"
"李洋[中国毛体书法艺术家协会会员]","营销经理人","职业","4398"
"李洋[邱爱华老公]","李洋","中文名","4399"
"李洋[邱爱华老公]","邱爱华","家庭成员","4400"
"李洋[邱爱华老公]","央视","任职单位","4401"
"李洋[安徽农业大学计算机教师]","李洋","中文名","4402"
"李洋[安徽农业大学计算机教师]","中国","国籍","4403"
"李洋[安徽农业大学计算机教师]","汉族","民族","4404"
"李洋[安徽农业大学计算机教师]","教师","职业","4405"
"李洋[安徽农业大学计算机教师]","计算机应用","研究方向","4406"
"李洋[跳台滑雪运动员]","李洋","中文名","4407"
"李洋[跳台滑雪运动员]","中国","国籍","4408"
"李洋[跳台滑雪运动员]","1980年3月31日","出生日期","4409"
"李洋[跳台滑雪运动员]","运动员","职业","4410"
"李洋[跳台滑雪运动员]","中国跳台滑雪集训队首批运动员","主要成就","4411"
"李洋[跳台滑雪运动员]","吉林通化","出生地","4412"
